Origin,Destination,Value
Afghanistan,Afghanistan,0
Afghanistan,Albania,0
Afghanistan,Algeria,0
Afghanistan,Angola,0
Afghanistan,Argentina,9
Afghanistan,Armenia,6
Afghanistan,Australia,1795
Afghanistan,Austria,24233
Afghanistan,Azerbaijan,70
Afghanistan,Belarus,0
Afghanistan,Belgium,3915
Afghanistan,Bosnia and Herzegovina,9
Afghanistan,Brazil,165
Afghanistan,Bulgaria,752
Afghanistan,Canada,717
Afghanistan,Cayman Islands,0
Afghanistan,Chad,0
Afghanistan,Chile,13
Afghanistan,China,18
Afghanistan,"China, Hong Kong SAR",0
Afghanistan,Colombia,0
Afghanistan,Costa Rica,0
Afghanistan,Croatia,93
Afghanistan,Cuba,0
Afghanistan,Cyprus,6
Afghanistan,Czech Rep.,5
Afghanistan,Denmark,769
Afghanistan,Dominican Rep.,7
Afghanistan,Ecuador,63
Afghanistan,Egypt,22
Afghanistan,Estonia,0
Afghanistan,Ethiopia,0
Afghanistan,Fiji,0
Afghanistan,Finland,320
Afghanistan,France,4314
Afghanistan,Georgia,16
Afghanistan,Germany,87321
Afghanistan,Greece,6922
Afghanistan,Hungary,241
Afghanistan,Iceland,6
Afghanistan,India,5743
Afghanistan,Indonesia,2084
Afghanistan,Iran (Islamic Rep. of),0
Afghanistan,Iraq,107
Afghanistan,Ireland,180
Afghanistan,Italy,322
Afghanistan,Japan,0
Afghanistan,Jordan,9
Afghanistan,Kazakhstan,164
Afghanistan,Kenya,0
Afghanistan,Kyrgyzstan,46
Afghanistan,Latvia,8
Afghanistan,Lebanon,7
Afghanistan,Libya,11
Afghanistan,Liechtenstein,0
Afghanistan,Lithuania,9
Afghanistan,Luxembourg,70
Afghanistan,Madagascar,0
Afghanistan,Malaysia,798
Afghanistan,Malta,6
Afghanistan,Mauritania,7
Afghanistan,Mexico,6
Afghanistan,Mongolia,0
Afghanistan,Morocco,0
Afghanistan,Nauru,0
Afghanistan,Nepal,0
Afghanistan,Netherlands,413
Afghanistan,New Zealand,20
Afghanistan,Nigeria,0
Afghanistan,Norway,618
Afghanistan,Pakistan,3241
Afghanistan,Panama,6
Afghanistan,Papua New Guinea,0
Afghanistan,Philippines,5
Afghanistan,Poland,7
Afghanistan,Portugal,0
Afghanistan,Rep. of Korea,7
Afghanistan,Rep. of Moldova,8
Afghanistan,Romania,111
Afghanistan,Russian Federation,167
Afghanistan,Saudi Arabia,0
Afghanistan,Serbia and Kosovo (S/RES/1244 (1999)),49
Afghanistan,Slovakia,0
Afghanistan,Slovenia,41
Afghanistan,Spain,148
Afghanistan,Sri Lanka,58
Afghanistan,Sudan,0
Afghanistan,Sweden,17812
Afghanistan,Switzerland,5620
Afghanistan,Syrian Arab Rep.,32
Afghanistan,Tajikistan,440
Afghanistan,Thailand,7
Afghanistan,The former Yugoslav Republic of Macedonia,0
Afghanistan,Turkey,157810
Afghanistan,Turkmenistan,0
Afghanistan,Ukraine,2808
Afghanistan,United Arab Emirates,14
Afghanistan,United Kingdom,2347
Afghanistan,United States of America,810
Afghanistan,Uzbekistan,0
Afghanistan,Venezuela (Bolivarian Republic of),0
Albania,Argentina,0
Albania,Australia,84
Albania,Austria,51
Albania,Belgium,385
Albania,Brazil,6
Albania,Canada,261
Albania,Chile,0
Albania,Croatia,0
Albania,Cyprus,0
Albania,Czech Rep.,0
Albania,Denmark,8
Albania,Ecuador,0
Albania,Estonia,0
Albania,Finland,0
Albania,France,4229
Albania,Germany,4838
Albania,Greece,2209
Albania,Hungary,0
Albania,Iceland,19
Albania,Iraq,0
Albania,Ireland,635
Albania,Italy,800
Albania,Lebanon,0
Albania,Liechtenstein,6
Albania,Luxembourg,65
Albania,Malta,0
Albania,Mexico,8
Albania,Netherlands,15
Albania,New Zealand,0
Albania,Norway,14
Albania,Portugal,0
Albania,Rep. of Korea,0
Albania,Romania,0
Albania,Slovenia,0
Albania,Spain,47
Albania,Sweden,384
Albania,Switzerland,54
Albania,United Kingdom,2991
Albania,United States of America,1636
Algeria,Albania,0
Algeria,Angola,0
Algeria,Argentina,6
Algeria,Australia,16
Algeria,Austria,248
Algeria,Belgium,100
Algeria,Bosnia and Herzegovina,72
Algeria,Botswana,0
Algeria,Brazil,18
Algeria,Bulgaria,23
Algeria,Cameroon,0
Algeria,Canada,240
Algeria,Chad,0
Algeria,Chile,0
Algeria,Congo,0
Algeria,Croatia,20
Algeria,Cyprus,0
Algeria,Czech Rep.,0
Algeria,CÌ«te d'Ivoire,0
Algeria,Denmark,15
Algeria,Egypt,0
Algeria,El Salvador,0
Algeria,Estonia,0
Algeria,Finland,12
Algeria,France,1424
Algeria,Germany,1748
Algeria,Greece,328
Algeria,Hungary,0
Algeria,Iceland,6
Algeria,Indonesia,12
Algeria,Iraq,0
Algeria,Ireland,197
Algeria,Italy,169
Algeria,Jordan,7
Algeria,Lebanon,0
Algeria,Lesotho,0
Algeria,Liberia,0
Algeria,Libya,0
Algeria,Liechtenstein,0
Algeria,Luxembourg,50
Algeria,Malaysia,0
Algeria,Malta,0
Algeria,Mauritania,13
Algeria,Mexico,0
Algeria,Montenegro,81
Algeria,Morocco,5
Algeria,Netherlands,192
Algeria,New Zealand,0
Algeria,Norway,0
Algeria,Pakistan,0
Algeria,Poland,0
Algeria,Rep. of Korea,47
Algeria,Romania,0
Algeria,Senegal,10
Algeria,Serbia and Kosovo (S/RES/1244 (1999)),0
Algeria,Slovakia,0
Algeria,Slovenia,58
Algeria,South Africa,12
Algeria,Spain,484
Algeria,Sudan,0
Algeria,Sweden,121
Algeria,Switzerland,148
Algeria,Syrian Arab Rep.,0
Algeria,The former Yugoslav Republic of Macedonia,0
Algeria,Tunisia,0
Algeria,Turkey,24
Algeria,Ukraine,15
Algeria,United Arab Emirates,0
Algeria,United Kingdom,201
Algeria,United States of America,274
Algeria,Venezuela (Bolivarian Republic of),0
Algeria,Yemen,0
American Samoa,Australia,0
Andorra,Australia,0
Andorra,Brazil,0
Andorra,Germany,0
Andorra,United States of America,0
Angola,Argentina,11
Angola,Australia,0
Angola,Austria,13
Angola,Belgium,145
Angola,Benin,0
Angola,Bolivia (Plurinational State of),0
Angola,Botswana,0
Angola,Brazil,4717
Angola,Burundi,0
Angola,Cameroon,0
Angola,Canada,267
Angola,Central African Rep.,0
Angola,Chile,8
Angola,China,0
Angola,Colombia,0
Angola,Congo,77
Angola,Costa Rica,0
Angola,Czech Rep.,0
Angola,CÌ«te d'Ivoire,0
Angola,Dem. Rep. of the Congo,13
Angola,Denmark,0
Angola,Ecuador,26
Angola,Egypt,0
Angola,Finland,15
Angola,France,734
Angola,Germany,317
Angola,Greece,11
Angola,Guyana,0
Angola,Hungary,0
Angola,India,0
Angola,Indonesia,7
Angola,Ireland,20
Angola,Italy,28
Angola,Kenya,6
Angola,Luxembourg,0
Angola,Malaysia,0
Angola,Mauritania,0
Angola,Mexico,0
Angola,Morocco,0
Angola,Mozambique,0
Angola,Netherlands,5
Angola,Norway,0
Angola,Panama,7
Angola,Peru,0
Angola,Portugal,15
Angola,Rep. of Korea,30
Angola,Rep. of Moldova,0
Angola,Romania,0
Angola,Russian Federation,0
Angola,Rwanda,0
Angola,Senegal,12
Angola,Slovakia,0
Angola,South Africa,0
Angola,Spain,21
Angola,Swaziland,0
Angola,Sweden,29
Angola,Switzerland,42
Angola,Trinidad and Tobago,0
Angola,Turkey,0
Angola,Uganda,0
Angola,Ukraine,9
Angola,United Kingdom,60
Angola,United States of America,1143
Angola,Uruguay,20
Angola,Zambia,0
Angola,Zimbabwe,0
Antigua and Barbuda,Australia,0
Antigua and Barbuda,Canada,41
Antigua and Barbuda,France,0
Antigua and Barbuda,Trinidad and Tobago,0
Antigua and Barbuda,United Kingdom,5
Antigua and Barbuda,United States of America,8
Argentina,Australia,21
Argentina,Brazil,44
Argentina,Canada,21
Argentina,Chile,0
